;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66
D602;;;;;;;;;V30;V30;V30;V30;V30;V30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-;-;-;-;-;-;-;;;;;
D603;;;;;;;;;;V15;V15;V15;V15;V15;V15;;;CHAMMAL_D$80;CHAMMAL_D$80;CHAMMAL_D$80;CHAMMAL_D$80;;;CHAMMAL_D$80;CHAMMAL_D$80;CHAMMAL_D$80;CHAMMAL_D$80;;;;;;;;;;;;;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;
D604;;;;;;;;;;;;;;;V10;V10;V10;V10;V10;V10;;;CHAMMAL_D$80;CHAMMAL_D$80;CHAMMAL_D$80;CHAMMAL_D$80;;;CHAMMAL_D$80;CHAMMAL_D$80;CHAMMAL_D$80;CHAMMAL_D$80;;;;;;;;;;;;;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;
D605;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;V30;V30;V30;V30;V30;V30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D606;;;;;;;;CHAMMAL_D$80;CHAMMAL_D$80;CHAMMAL_D$80;CHAMMAL_D$80;;;CHAMMAL_D$80;CHAMMAL_D$80;CHAMMAL_D$80;CHAMMAL_D$80;;;;;;;;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;
C120;;V15;V15;V15;V15;V15;V15;;;NIAMEY_C$50;NIAMEY_C$50;NIAMEY_C$50;NIAMEY_C$50;;;NIAMEY_C$50;NIAMEY_C$50;NIAMEY_C$50;NIAMEY_C$50;;;NIAMEY_C$50;NIAMEY_C$50;NIAMEY_C$50;NIAMEY_C$50;;;;;;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;
C121;NIAMEY_C$50;NIAMEY_C$50;NIAMEY_C$50;NIAMEY_C$50;;;NIAMEY_C$50;NIAMEY_C$50;NIAMEY_C$50;NIAMEY_C$50;;;NIAMEY_C$50;NIAMEY_C$50;NIAMEY_C$50;NIAMEY_C$50;;;;;;;;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;V10;V10;V10;V10;V10;V10;;
C122;;;;-;-;-;-;-;-;-;-;-;-;-;-;V10;V10;V10;V10;V10;V10;;;NIAMEY_C$50;NIAMEY_C$50;NIAMEY_C$50;NIAMEY_C$50;;;NIAMEY_C$50;NIAMEY_C$50;NIAMEY_C$50;NIAMEY_C$50;;;NIAMEY_C$50;NIAMEY_C$50;NIAMEY_C$50;NIAMEY_C$50;;;;;;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;
C123;;NIAMEY_C$50;NIAMEY_C$50;NIAMEY_C$50;NIAMEY_C$50;;;;;;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;V10;V10;V10;V10;V10;V10;;;NIAMEY_C$50;NIAMEY_C$50;NIAMEY_C$50;NIAMEY_C$50;;;NIAMEY_C$50;NIAMEY_C$50;NIAMEY_C$50;NIAMEY_C$50;;;NIAMEY_C$50;NIAMEY_C$50;NIAMEY_C$50;NIAMEY_C$50;;;;;;;;
C124;;;;;NIAMEY_C$50;NIAMEY_C$50;NIAMEY_C$50;NIAMEY_C$50;;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;V10;V10;V10;V10;V10;V10;;;NIAMEY_C$50;NIAMEY_C$50;NIAMEY_C$50;NIAMEY_C$50;;;NIAMEY_C$50;NIAMEY_C$50;NIAMEY_C$50;NIAMEY_C$50;;;NIAMEY_C$50;NIAMEY_C$50;NIAMEY_C$50;NIAMEY_C$50;;;;;;;
